actual_prices,predicted_prices
-0.9500728469077003,-0.7663045525550842
-0.9501394245712811,-0.7662741541862488
-0.9501384382355245,-0.766299307346344
-0.9502114270815242,-0.7663019299507141
-0.9503672681310911,-0.7663289904594421
-0.950386994846226,-0.7663833498954773
-0.9502987177959967,-0.7663922905921936
-0.95027948424874,-0.7663641571998596
-0.950343596072929,-0.766359806060791
-0.9503721998098748,-0.7663833498954773
-0.9503874880141044,-0.7663946747779846
-0.9505157116624822,-0.7664023041725159
-0.9504491339989015,-0.7664467096328735
-0.950464422203131,-0.7664266228675842
-0.9504343389625503,-0.7664336562156677
-0.9504491339989015,-0.7664252519607544
-0.9506991701132382,-0.7664325833320618
-0.9506064545521035,-0.7665181756019592
-0.9506099067272521,-0.7664884924888611
-0.9505280408594416,-0.7664919495582581
-0.9506158247417925,-0.766465961933136
-0.9506971974417247,-0.7664973735809326
-0.9508860807391428,-0.7665265202522278
-0.9509220819942643,-0.7665913105010986
-0.9508880534106562,-0.7666049599647522
-0.9507662409446974,-0.7665953040122986
-0.9508199962434404,-0.7665565609931946
-0.9509023552791291,-0.7665767073631287
-0.9509378633663723,-0.766605794429779
-0.9508293664331295,-0.7666196823120117
-0.9508125987252647,-0.7665849328041077
-0.9507312260253326,-0.7665809988975525
-0.9507149514853462,-0.7665557265281677
-0.9508481068125079,-0.7665520310401917
-0.9506804297338599,-0.766598105430603
-0.9506666210332654,-0.7665444016456604
-0.9506296334423872,-0.766541600227356
-0.9506439353108601,-0.766531229019165
-0.9508081602143593,-0.7665380835533142
-0.9506380172963195,-0.7665950655937195
-0.950639989967833,-0.766539454460144
-0.9506552781720627,-0.7665424942970276
-0.9505837688296982,-0.7665489912033081
-0.9505946185230225,-0.7665272355079651
-0.9505827824939413,-0.7665325403213501
