time,value
2021-02-04,34018.09152353146
2021-02-05,34413.369762930444
2021-02-08,34486.516709655065
2021-02-09,34318.22914129398
2021-02-10,34084.683788335
2021-02-11,34025.86036255121
2021-02-12,33962.1872620925
2021-02-16,33954.307971475355
2021-02-17,33932.277818686096
2021-02-18,34238.57865141421
2021-02-19,33619.576064253204
2021-02-22,33640.608632452604
2021-02-23,33773.6671459354
2021-02-24,33682.74637318491
2021-02-25,33192.523679964535
2021-02-26,32857.92781706901
2021-03-01,33290.46370264032
2021-03-02,33409.10760017212
2021-03-03,33021.69741657284
2021-03-04,33163.80333953626
2021-03-05,34130.792037850355
2021-03-08,34138.80958262274
2021-03-09,34058.68874492983
2021-03-10,34412.4145942759
2021-03-11,34246.17997560486
2021-03-12,34193.41395585717
2021-03-15,34322.36749418492
2021-03-16,34547.23140481683
2021-03-17,34475.86731723851
2021-03-18,34152.71632522634
2021-03-19,34572.842135531864
2021-03-22,35201.027616838015
2021-03-23,35563.93689198357
2021-03-24,35510.72525968078
2021-03-25,35773.64767554237
2021-03-26,36526.323986872005
2021-03-29,37074.908426997405
2021-03-30,36538.26193179736
2021-03-31,36249.14361413444
2021-04-01,36165.170498464795
2021-04-05,36529.232909488856
2021-04-06,36725.31500932338
2021-04-07,36721.47486010926
2021-04-08,36547.83558625359
2021-04-09,36573.515658878416
2021-04-12,36689.24200697247
2021-04-13,36612.6801909846
2021-04-14,36483.174533331636
2021-04-15,36587.051627443565
2021-04-16,36962.12626421806
2021-04-19,37144.655271831914
2021-04-20,37332.34988530929
2021-04-21,37646.12802975423
2021-04-22,37471.34171328735
2021-04-23,37452.10361909353
2021-04-26,36855.353043412266
2021-04-27,36765.941614403324
2021-04-28,36615.09924832176
2021-04-29,37124.76460248988
2021-04-30,37077.443825185284
2021-05-03,37460.05330721247
2021-05-04,37107.773358584076
2021-05-05,37053.530609558526
2021-05-06,37455.925898434434
2021-05-07,37448.43677422432
2021-05-10,37734.67616686679
2021-05-11,37393.815473207804
2021-05-12,37115.80502810208
2021-05-13,37562.49414933519
2021-05-14,37665.55883924766
2021-05-17,37581.66440803638
2021-05-18,37395.63361822252
2021-05-19,37327.9229923383
2021-05-20,37721.39791672577
2021-05-21,37694.22808478145
2021-05-24,37849.223568820256
2021-05-25,37896.782040144106
2021-05-26,37994.092629031125
2021-05-27,37961.01060506136
2021-05-28,38109.30536153247
2021-06-01,38067.1393984481
2021-06-02,38216.206323661376
2021-06-03,38334.45690162256
2021-06-04,38570.29436975547
2021-06-07,38491.38560391056
2021-06-08,38178.872691489065
2021-06-09,38087.593363468506
2021-06-10,38432.5163658452
2021-06-11,38529.106336704324
2021-06-14,38584.17843144549
2021-06-15,38531.421229692416
2021-06-16,38076.25580799349
2021-06-17,38351.305646852335
2021-06-18,37539.38753718079
2021-06-21,37898.003507556445
2021-06-22,38000.47682426791
2021-06-23,37600.09862123065
2021-06-24,37800.82912859707
2021-06-25,37872.43636814404
2021-06-28,37927.39369045705
2021-06-29,37756.14281048137
2021-06-30,37986.57554297131
2021-07-01,37925.866921988585
2021-07-02,38092.396973558316
2021-07-06,37974.03307332425
2021-07-07,38237.40649784971
2021-07-08,38153.66862735066
2021-07-09,38284.51604849452
2021-07-12,38291.59941692204
2021-07-13,38860.409181025316
2021-07-14,39602.408280416545
2021-07-15,39745.56028642044
2021-07-16,39775.54135906131
2021-07-19,39439.69289496447
2021-07-20,39494.646186931845
2021-07-21,39827.200929078914
2021-07-22,39787.52169511607
2021-07-23,40213.39216416737
2021-07-26,40230.41255327109
2021-07-27,40400.38118973334
2021-07-28,40029.34220244146
2021-07-29,40200.743413680495
2021-07-30,40204.6296891606
2021-08-02,40079.83928062485
2021-08-03,40129.53572731993
2021-08-04,39517.48801378002
2021-08-05,39712.54175847362
2021-08-06,39768.493543916135
2021-08-09,39775.40955396703
2021-08-10,39845.01205439499
2021-08-11,39888.63418231594
2021-08-12,39935.43240750191
2021-08-13,40254.60211483398
2021-08-16,40524.235779248804
2021-08-17,40423.50082257655
2021-08-18,39930.49671278724
2021-08-19,40347.477076574556
2021-08-20,40193.50831449406
2021-08-23,40056.84220425538
2021-08-24,39687.01892716108
2021-08-25,39645.15293289564
2021-08-26,39365.54459413634
2021-08-27,39444.93600286771
2021-08-30,39777.92254697916
2021-08-31,39874.78547726542
2021-09-01,40191.178959911245
2021-09-02,40236.19697842543
2021-09-03,40231.500351368435
2021-09-07,39520.64133650165
2021-09-08,40063.86394322521
2021-09-09,39720.60306378907
2021-09-10,39579.711343268085
2021-09-13,39817.51660210726
2021-09-14,39776.971755799284
2021-09-15,39947.314999255825
2021-09-16,39672.304876714246
2021-09-17,39131.49678275971
2021-09-20,38902.157103192796
2021-09-21,38890.38280718149
2021-09-22,38972.900819141134
2021-09-23,38939.45793845953
2021-09-24,38867.61986467157
2021-09-27,38615.52287795903
2021-09-28,38006.7702859226
2021-09-29,38257.43705187804
2021-09-30,37871.0491181053
2021-10-01,38193.72697020449
2021-10-04,38116.51714992539
2021-10-05,38235.9955001768
2021-10-06,38863.292725292245
2021-10-07,39046.5743092641
2021-10-08,39160.10294037599
2021-10-11,39232.990330627974
2021-10-12,39281.599828578605
2021-10-13,39355.59209421713
2021-10-14,39633.38525094926
2021-10-15,39532.92885542947
2021-10-18,39194.31253077828
2021-10-19,39413.899840047365
2021-10-20,39759.68933256482
2021-10-21,39491.438553206885
2021-10-22,39591.610894495316
2021-10-25,39431.054918830436
2021-10-26,39670.23132734686
2021-10-27,40267.659782227434
2021-10-28,40607.88556481681
2021-10-29,40763.03907862487
2021-11-01,40640.35608608052
2021-11-02,40740.77552592702
2021-11-03,40956.68632797806
2021-11-04,41118.50600199148
2021-11-05,41375.338129732794
2021-11-08,40846.22709002539
2021-11-09,41016.13579902895
2021-11-10,41173.10083931002
2021-11-11,41062.76120975531
2021-11-12,41000.227027928544
2021-11-15,41118.08997094481
2021-11-16,40888.34722874399
2021-11-17,40743.48224806881
2021-11-18,40496.7429006286
2021-11-19,40373.10868672343
2021-11-22,40580.09960683214
2021-11-23,40873.148512208914
2021-11-24,40535.119078082105
2021-11-26,39455.9764961929
2021-11-29,40097.0372767929
2021-11-30,38869.515681779914
2021-12-01,38784.07953679541
2021-12-02,39333.09371449649
2021-12-03,39785.60469587791
2021-12-06,40741.08238139849
2021-12-07,40910.66592097337
2021-12-08,40807.35371605182
2021-12-09,40718.92668547936
2021-12-10,41685.37700814804
2021-12-13,42538.74854459258
2021-12-14,42509.98806235211
2021-12-15,42853.16600609422
2021-12-16,43138.2203774798
2021-12-17,42371.43077527932
2021-12-20,42420.66994060758
2021-12-21,42472.49443598093
2021-12-22,42756.09297110265
2021-12-23,42748.14157850978
2021-12-27,43114.85399805378
2021-12-28,43308.62020373989
2021-12-29,43410.83075857307
2021-12-30,43306.30313764046
2021-12-31,43597.18238003216
2022-01-03,43546.860097130004
2022-01-04,43949.500634627264
2022-01-05,44189.75250887101
2022-01-06,44102.078496120805
2022-01-07,44091.52659928904
2022-01-10,44136.555591468496
2022-01-11,44133.00139779336
2022-01-12,44135.38777253255
2022-01-13,44286.67856157148
2022-01-14,44653.98252897483
2022-01-18,44253.38138736989
2022-01-19,44470.398118988865
2022-01-20,44209.95980346057
2022-01-21,44159.728405659655
2022-01-24,43872.08522322434
2022-01-25,43556.71914809264
2022-01-26,43228.852665155166
2022-01-27,43223.2864633977
2022-01-28,44073.93707410094
2022-01-31,44252.696641476505
2022-02-01,43944.837002229564
2022-02-02,44600.601246789345
2022-02-03,44716.09880383154
2022-02-04,44081.09842540055
2022-02-07,44145.949289757606
2022-02-08,44274.00153289017
2022-02-09,44059.92917625061
2022-02-10,43568.03549772688
2022-02-11,43397.82443023319
2022-02-14,43188.829429787096
2022-02-15,43103.329249818526
2022-02-16,43164.169341685876
2022-02-17,43487.72880357427
2022-02-18,43747.99366059834
2022-02-22,43851.291248763955
2022-02-23,43406.34927754371
2022-02-24,42649.00853480738
2022-02-25,43969.09819131699
2022-02-28,42905.01904656739
2022-03-01,42547.794516753376
2022-03-02,43099.824381937084
2022-03-03,43065.70490372325
2022-03-04,43630.678985712635
2022-03-07,42726.20706642056
2022-03-08,41400.80894293435
2022-03-09,41390.08097572409
2022-03-10,40631.586082084956
2022-03-11,40502.43373189317
2022-03-14,41126.809596636405
2022-03-15,41932.0544355479
2022-03-16,42041.37934626582
2022-03-17,42400.9172706155
2022-03-18,42766.70185780524
2022-03-21,42824.3115036571
2022-03-22,43212.41154032984
2022-03-23,42970.45077104297
2022-03-24,43274.425133934215
2022-03-25,43528.82293869985
2022-03-28,43695.53459772693
2022-03-29,44232.55228854886
2022-03-30,44197.28965388098
2022-03-31,44046.17585056374
2022-04-01,44671.57222888937
2022-04-04,44522.84317714212
2022-04-05,44542.00315488961
2022-04-06,45207.8918626293
2022-04-07,45315.79952401617
2022-04-08,45505.13784363671
2022-04-11,45405.85813120349
2022-04-12,45690.08796909384
2022-04-13,45662.10159775354
2022-04-14,45491.05938503864
2022-04-18,45097.57448793215
2022-04-19,45707.40300382618
2022-04-20,46372.668049268425
2022-04-21,46292.04944319755
2022-04-22,45586.761323108156
2022-04-25,46022.945315906974
2022-04-26,45791.00234085832
2022-04-27,46185.076753758825
2022-04-28,46808.94144303739
2022-04-29,45415.38484157223
2022-05-02,44437.19565336959
2022-05-03,44409.70604030684
2022-05-04,45904.2682820716
2022-05-05,45170.51698082144
2022-05-06,45220.44102069547
2022-05-09,45443.54052950297
2022-05-10,45271.37817445067
2022-05-11,45204.18199043725
2022-05-12,45203.44219770605
2022-05-13,46073.09780652869
2022-05-16,46444.55385351896
2022-05-17,46227.78873898583
2022-05-18,43242.44519877829
2022-05-19,42523.76623736146
2022-05-20,42949.71269806836
2022-05-23,43988.53828584727
2022-05-24,44644.53953579716
2022-05-25,44870.89249010665
2022-05-26,45130.113432704544
2022-05-27,45513.35088903671
2022-05-31,44501.05981818532
2022-06-01,44205.219169971715
2022-06-02,44597.11440229132
2022-06-03,44094.5334041427
2022-06-06,44199.664801551655
2022-06-07,44468.28270970751
2022-06-08,44237.187455867825
2022-06-09,43455.76641582448
2022-06-10,43316.67850966992
2022-06-13,42820.96375152549
2022-06-14,41792.14038668779
2022-06-15,42201.91432469241
2022-06-16,41930.57043402299
2022-06-17,42019.3019692619
2022-06-21,42971.92112287982
2022-06-22,43314.022334303605
2022-06-23,43855.396008361815
2022-06-24,44494.15150928872
2022-06-27,44502.62290224504
2022-06-28,43940.31629131969
2022-06-29,44536.09845909125
2022-06-30,44573.838358426176
2022-07-01,45415.61142004613
2022-07-05,45076.414478071514
2022-07-06,45378.83570854812
2022-07-07,45167.23420971754
2022-07-08,45455.98567438926
2022-07-11,45201.613217642436
2022-07-12,44974.83962934062
2022-07-13,44960.94640644326
2022-07-14,45004.94334611435
2022-07-15,45146.07614137522
2022-07-18,44466.54040884674
2022-07-19,45020.50402368692
2022-07-20,44411.89103584442
2022-07-21,44393.660251491885
2022-07-22,44619.711008297585
2022-07-25,44886.43278013564
2022-07-26,45517.85399397551
2022-07-27,45411.04885313954
2022-07-28,46219.91309910778
2022-07-29,46277.51577437196
2022-08-01,46650.915126840824
2022-08-02,46117.0868839058
2022-08-03,46380.056122550435
2022-08-04,46172.85223245377
2022-08-05,45907.35637919378
2022-08-08,45656.90219164653
2022-08-09,45764.71217644939
2022-08-10,46175.14959143959
2022-08-11,45890.75617518679
2022-08-12,46342.29968561444
2022-08-15,46895.86136697936
2022-08-16,47244.178445571546
2022-08-17,47162.458737195455
2022-08-18,47345.7385883705
2022-08-19,47299.130185596245
2022-08-22,46687.6601193208
2022-08-23,46710.04996607841
2022-08-24,46835.22336719915
2022-08-25,46986.611412749415
2022-08-26,45860.07082425489
2022-08-29,45638.088905768425
2022-08-30,45228.96038375013
2022-08-31,44961.37273721192
2022-09-01,45274.1592161121
2022-09-02,44671.32610143696
2022-09-06,44568.919467634834
2022-09-07,45460.844900426426
2022-09-08,45314.38929065909
2022-09-09,45462.521371030714
2022-09-12,45608.8842383562
2022-09-13,44045.34509497463
2022-09-14,44327.25931765847
2022-09-15,43666.62422099124
2022-09-16,43807.86921972437
2022-09-19,44193.27383103419
2022-09-20,44176.85274770964
2022-09-21,43906.6896889049
2022-09-22,43859.30476824691
2022-09-23,43546.05643978577
2022-09-26,43175.71658449127
2022-09-27,42205.19684428235
2022-09-28,42713.69311207838
2022-09-29,42359.10185551496
2022-09-30,41829.428347550194
2022-10-03,42316.168699173664
2022-10-04,42535.54267037174
2022-10-05,42163.36025960518
2022-10-06,41276.55382300131
2022-10-07,40915.04500026814
2022-10-10,40870.76498944216
2022-10-11,40975.47156922352
2022-10-12,41817.96834213783
2022-10-13,42405.75608479673
2022-10-14,41778.37649543495
2022-10-17,42319.952815512064
2022-10-18,42885.06740340276
2022-10-19,42529.709303962496
2022-10-20,41846.11263986826
2022-10-21,42529.062244518005
2022-10-24,43754.00698626126
2022-10-25,44915.8883040095
2022-10-26,45259.10478411876
2022-10-27,45373.08423179875
2022-10-28,46312.31513933011
2022-10-31,45576.82851739294
2022-11-01,45426.25758319539
2022-11-02,44793.62264249044
2022-11-03,44772.44726619723
2022-11-04,45144.35209273836
2022-11-07,45313.0405841771
2022-11-08,45392.55657813183
2022-11-09,44754.214766691024
2022-11-10,46395.753726017625
2022-11-11,46728.2918382418
2022-11-14,46296.54351965145
2022-11-15,46260.491703403095
2022-11-16,46243.90210448244
2022-11-17,46420.22943200223
2022-11-18,46750.34390691644
2022-11-21,47478.12912135541
2022-11-22,47684.01827899844
2022-11-23,47893.67810015318
2022-11-25,47927.0717201889
2022-11-28,47928.64386117635
2022-11-29,47735.57946319217
2022-11-30,48877.15530797911
2022-12-01,49067.05466303815
2022-12-02,49421.25441953385
2022-12-05,48744.71987653982
2022-12-06,48629.23136365945
2022-12-07,48725.80389024062
2022-12-08,49002.31873369914
2022-12-09,48575.12100661291
2022-12-12,49113.03415799977
2022-12-13,49116.37310286258
2022-12-14,49075.56138462033
2022-12-15,48349.38827859154
2022-12-16,48185.03823226847
2022-12-19,48315.70599652696
2022-12-20,48278.325697263645
2022-12-21,48927.18541895032
2022-12-22,48564.74850999283
2022-12-23,48908.3856030082
2022-12-27,49180.11965300032
2022-12-28,48741.78105393232
2022-12-29,48949.63372882293
2022-12-30,48649.98150209933
2023-01-03,48213.3624532164
2023-01-04,48151.886836747224
2023-01-05,47621.005723098024
2023-01-06,48602.51238779924
2023-01-09,48046.44903648709
2023-01-10,47671.20397496196
2023-01-11,47628.969505863926
2023-01-12,47020.705453994284
2023-01-13,47079.43980633905
2023-01-17,47284.73721733987
2023-01-18,45942.115015740135
2023-01-19,45718.674514479055
2023-01-20,45908.85799734694
2023-01-23,45888.662099793866
2023-01-24,46217.52103254843
2023-01-25,46530.39382375691
2023-01-26,46271.50682362236
2023-01-27,46070.52096209331
2023-01-30,46113.3317353594
2023-01-31,46580.70785938551
2023-02-01,46658.58939231242
2023-02-02,46039.899267476285
2023-02-03,45744.58065387202
2023-02-06,46200.21845058848
2023-02-07,46122.71685078135
2023-02-08,45915.56647715718
2023-02-09,46006.0825818043
2023-02-10,46252.184360971565
2023-02-13,46960.752268693024
2023-02-14,46227.07510291122
2023-02-15,46238.22010323683
2023-02-16,45980.554659313195
2023-02-17,46606.846321014156
2023-02-21,46405.27975505427
2023-02-22,46517.64831243146
2023-02-23,46594.02102301687
2023-02-24,46423.90548055265
2023-02-27,46407.789759833635
2023-02-28,46088.70254996078
2023-03-01,45563.485621896536
2023-03-02,46278.15540946766
2023-03-03,46097.5892620635
2023-03-06,46675.312083850484
2023-03-07,46420.45881743231
2023-03-08,46475.68220009089
2023-03-09,46050.111094186126
2023-03-10,45928.926127907805
2023-03-13,46389.42877230627
2023-03-14,46508.75084005401
2023-03-15,46962.59583264692
2023-03-16,47158.13215460041
2023-03-17,46902.99992807642
2023-03-20,47408.4899800567
2023-03-21,47273.11720411399
2023-03-22,47020.39310037397
2023-03-23,46891.545197741565
2023-03-24,47693.42325587572
2023-03-27,47995.73747396095
2023-03-28,48028.34261718464
2023-03-29,48373.135397920785
2023-03-30,48378.7370219982
2023-03-31,48587.15587616852
2023-04-03,48822.84383578545
2023-04-04,48666.718533324245
2023-04-05,49129.75831796673
2023-04-06,49207.34348294901
2023-04-10,49040.96176981182
2023-04-11,48959.62432683229
2023-04-12,48990.57023509815
2023-04-13,49389.29699187704
2023-04-14,49266.99923816862
2023-04-17,49561.456442886956
2023-04-18,49651.26610100405
2023-04-19,49700.40281095174
2023-04-20,49897.99810119413
2023-04-21,49952.111392900944
2023-04-24,49911.34654414822
2023-04-25,50291.5370632371
2023-04-26,50039.70740701149
2023-04-27,50191.15632659432
2023-04-28,50547.47391993219
2023-05-01,50688.19791344391
2023-05-02,50555.31179519218
2023-05-03,50326.597431822425
2023-05-04,50432.23477216446
2023-05-05,50667.33469540905
2023-05-08,50561.92303712647
2023-05-09,50273.17404876723
2023-05-10,50350.33788919088
2023-05-11,50635.60651750171
2023-05-12,50830.70667076204
2023-05-15,50632.04112552669
2023-05-16,50147.416405714124
2023-05-17,50032.67906954032
2023-05-18,49788.11104233015
2023-05-19,49823.7206954859
2023-05-22,48714.25809090949
2023-05-23,48608.837784789954
2023-05-24,48227.07526923013
2023-05-25,47868.85285281657
2023-05-26,47762.67337561935
2023-05-30,47358.66366481116
2023-05-31,47321.5590052772
2023-06-01,47594.11799502761
2023-06-02,48439.825229568334
2023-06-05,48199.73091829451
2023-06-06,47786.36069531951
2023-06-07,47640.06584532779
2023-06-08,47871.71738486048
2023-06-09,47944.87014606076
2023-06-12,47762.34626349945
2023-06-13,47886.78948979786
2023-06-14,48240.8520585308
2023-06-15,48900.61309593761
2023-06-16,49182.460812938254
2023-06-20,48896.44882832022
2023-06-21,49001.10014302283
2023-06-22,49389.79356396737
2023-06-23,48926.83373121694
2023-06-26,48852.63492357029
2023-06-27,48885.650088835006
2023-06-28,48379.82309820102
2023-06-29,48097.74421588678
2023-06-30,48296.32514988271
2023-07-03,48549.66048948176
2023-07-05,48883.9659887161
2023-07-06,48599.38005874417
2023-07-07,47905.87717510477
2023-07-10,47684.377246873126
2023-07-11,47823.01730430113
2023-07-12,48010.42270951696
2023-07-13,48580.35314709383
2023-07-14,48983.63909254623
2023-07-17,48804.23163083016
2023-07-18,48579.385290984064
2023-07-19,49330.692401157794
2023-07-20,49998.77084378995
2023-07-21,50100.92135715155
