time,open,high,low,close,MHULL,SHULL
1506528000,4070.69,4190,4070.64,4183.39,3932.2681380127806,3882.475604222498
1506542400,4182.04,4226.73,4144.12,4199.29,3962.348269334502,3905.3889698601665
1506556800,4202.34,4208.24,4149,4195,3994.390640684051,3932.2681380127806
1506571200,4195,4248.76,4182.79,4221.64,4027.8412424929566,3962.348269334502
1506585600,4222.94,4270.01,4153.79,4184,4060.573299388442,3994.390640684051
1506600000,4185.06,4216.54,4123.5,4141.08,4090.5720621607225,4027.8412424929566
1506614400,4140,4202.32,4132.19,4152,4117.957147229094,4060.573299388442
1506628800,4149.28,4199.91,4141.41,4184.84,4143.226300986051,4090.5720621607225
1506643200,4183.47,4202.99,4024,4059.01,4162.946114907579,4117.957147229094
1506657600,4062.26,4115,4022.02,4092.03,4178.6457529718955,4143.226300986051
1506672000,4094.96,4206.59,4082.57,4190.27,4193.4026137909705,4162.946114907579
1506686400,4190.27,4224.89,4166,4184.18,4207.044348261527,4178.6457529718955
1506700800,4184.18,4227.62,4144.12,4162.95,4219.030578050918,4193.4026137909705
1506715200,4162.93,4206.59,4132.01,4164.82,4229.378905543531,4207.044348261527
1506729600,4162.04,4224.6,4154.28,4190.72,4238.79122249708,4219.030578050918
1506744000,4185.73,4291.5,4180.55,4291.5,4250.177883426097,4229.378905543531
1506758400,4291.5,4292.36,4245,4259.24,4261.859084183673,4238.79122249708
1506772800,4264.4,4335.22,4256.7,4329.96,4275.1733667800445,4250.177883426097
1506787200,4322.24,4347.2,4291.36,4318.07,4289.235983345357,4261.859084183673
1506801600,4318.07,4349,4304.64,4326.09,4303.756659769463,4275.1733667800445
1506816000,4326.09,4349,4255,4291.36,4317.229051338212,4289.235983345357
1506830400,4287.06,4316.22,4270.01,4308.71,4329.671415618773,4303.756659769463
1506844800,4308.91,4315.99,4272.21,4273.26,4339.6489315690915,4317.229051338212
1506859200,4278.3,4281.92,4216,4270.01,4347.148421803065,4329.671415618773
1506873600,4270,4290,4257.49,4289.17,4352.729132163471,4339.6489315690915
1506888000,4289.1,4377.22,4282.09,4377.22,4358.974561885865,4347.148421803065
1506902400,4369.33,4419,4356.05,4381.33,4365.875824314573,4352.729132163471
1506916800,4374.12,4421.72,4374.12,4392.98,4373.611081469456,4358.974561885865
1506931200,4389.99,4453,4377.83,4379.98,4381.642398689272,4365.875824314573
1506945600,4379.97,4429.94,4352,4380.46,4389.9010586391105,4373.611081469456
1506960000,4380.46,4420,4356.48,4407,4398.810709621727,4381.642398689272
