time,open,high,low,close
1529971200,6249.1,6280.8,6050.2,6073.4
1530057600,6073.4,6192.7,5984.9,6133.08668215
1530144000,6133.08668215,6170.9,5822.3,5848.1
1530230400,5850,6302,5780,6208.1
1530316800,6208.2,6545.5,6195.2,6391.5
1530403200,6391.6,6439.9,6260,6349.7
1530489600,6349.3,6681.2,6275,6617.6
1530576000,6617.2,6675.2,6470.5,6509
1530662400,6509.3,6784.9,6414.1,6590
1530748800,6589.9,6704.7,6423.4,6531.3
1530835200,6532.4,6641.78437543,6451.9,6602.2
1530921600,6602.2,6839.4,6511,6761.8
1531008000,6761.7,6801.9,6666.1,6707
1531094400,6707,6820,6616.6,6666.9
1531180800,6667,6685.8,6260.1,6301.8
1531267200,6301.8,6407.9,6286.3,6377.8
1531353600,6377.7,6377.7,6079.9,6249
1531440000,6249,6339.9,6125,6220
1531526400,6219.7,6320,6179.2,6250
1531612800,6250,6389,6230.3,6347.2
1531699200,6347.2,6750,6327.1,6729.2
1531785600,6729.2,7483.9,6666,7319.8
1531872000,7319.8,7588,7246.5,7379.4
1531958400,7379.7,7560,7281.4,7473.5
1532044800,7473.5,7685.2,7273.1,7333.1
1532131200,7333.1,7459,7221,7403.4
1532217600,7403.3,7575,7329.1,7397.6
1532304000,7398.7,7820,7374,7719.8
1532390400,7718.9,8506.7,7690,8390
1532476800,8389.9,8488.1,8073,8178.4
1532563200,8175.6,8323.1,7869.6,7939
1532649600,7939,8291,7815.08505617,8188
1532736000,8187.9,8262,8055,8235.6
1532822400,8235.7,8313.3,8123,8221
1532908800,8220.1,8301.7283857,7861.2,8179.5
1532995200,8178.9,8178.9,7664.8977045,7731.3
1533081600,7737.9,7756.1,7440.2,7606
1533168000,7606.6,7713,7450,7535.2
1533254400,7533.3,7533.3,7282.1,7420
1533340800,7420.3,7492.2,6928.8,7013.21565493
1533427200,7013.21567835,7090,6890,7025.8
1533513600,7025.2,7153.6,6847,6941.2
1533600000,6941.3,7150,6677,6718.8
1533686400,6718.7,6720.1,6128.2,6280.7
1533772800,6280.7,6628,6183,6533.6
1533859200,6533.6,6573.8,6010,6146.7
1533945600,6147.1,6499.5,6008.1,6233.1
1534032000,6233.1,6499,6162,6313.9
1534118400,6313.9,6548.3,6137.6,6251.9
1534204800,6251.9,6251.9,5858.6,6189
1534291200,6189,6647.6,6180.00532947,6270.2
1534377600,6270.2,6476.7,6212.9,6315.6
1534464000,6314.6,6592.9,6290,6584.04649746
1534550400,6585.9,6619.5,6300,6391.2
1534636800,6391.1,6550.3,6309.3,6485.1
1534723200,6485.1,6524,6230,6255.9
1534809600,6255.9,6526.2,6245,6479.1
1534896000,6480.6,6899,6250.3,6363.8
1534982400,6363.8,6566.63554152,6350,6527.2
1535068800,6527.2,6728.6,6451,6693.6
1535155200,6693.3,6799.7,6670,6732.9
1535241600,6733,6789,6557,6707
1535328000,6707,6942.2,6652.7,6909.4
1535414400,6909.5,7127.9,6872,7079.9
1535500800,7079.7,7139.4,6924.26926081,7039
1535587200,7039.0020077,7060,6802.1,6986
1535673600,6986.1,7100,6881.6,7014.6
1535760000,7013.5,7269.9,7011.3,7197.4
1535846400,7197.5,7429.2,7135.3,7300
1535932800,7300.1,7369,7200,7267.8
1536019200,7267.6,7415.4,7246.2,7358.9
1536105600,7358.9,7404,6700,6704
1536192000,6704,6731.3,6302.2,6516.1
1536278400,6516,6549.5,6322.8,6397
1536364800,6397,6475.5,6119.5,6184.944416
1536451200,6185,6458.9,6140.5,6239.9
1536537600,6240,6373.6771888,6219,6314.9
1536624000,6314.9,6399.6,6170,6290.9
1536710400,6292.3,6355,6202.8,6332.41672182
1536796800,6334.2,6528.4,6333.4,6489
1536883200,6489.1,6596.5,6355.2,6480.1
1536969600,6480.2,6572.2,6465.6,6512.8
1537056000,6512.8,6520.6,6370.2,6498.4
1537142400,6498.5,6543.3,6202.8,6252
1537228800,6251.9,6384,6228.1,6335.4
1537315200,6334.5,6549.9,6100,6390.9
1537401600,6392.7,6584,6340,6493.9074816
1537488000,6493.94240058,6790.5,6473.8,6762.1
1537574400,6761.8,6840.9,6502.2,6723
1537660800,6723.1,6785.9,6661.5,6710
1537747200,6710.03023581,6721.7,6555,6585.1
1537833600,6585,6585.1,6328,6442.8
1537920000,6442.70984901,6558,6382.5,6462.4
1538006400,6462.3,6745,6436.7,6691.2
1538092800,6691.4,6826.41966538,6541.9,6635.2
1538179200,6635.1,6635.1,6454.2,6597.3
1538265600,6597.2,6662.8,6529.6,6622.4
1538352000,6622.3,6660,6500,6601.9
1538438400,6602,6644.7,6467.9,6527.5
1538524800,6530.1,6555.1,6424.6,6503.2
1538611200,6503.1,6648.8,6495.2,6590.4
1538697600,6591.1,6741.4366438,6506.6,6639.9
1538784000,6639.9,6648.2,6563.7,6595.2
1538870400,6595.1,6640.4,6525,6609.4
1538956800,6609.4,6730,6585.9,6673.2
1539043200,6673.3,6682,6605,6663
1539129600,6663,6663.1,6513.52952635,6630.07445752
1539216000,6630,6630.07445752,6220.4,6251.9
1539302400,6251.9,6353.4,6220.3,6291.9
1539388800,6292,6333.7,6280.3,6326.5
1539475200,6326.4,6399.3,6302.5,6336.4
1539561600,6336.4,7788,6294.6,6742
1539648000,6742,6897.6,6669.1,6754.2
1539734400,6754.2,6794,6674.3,6736
1539820800,6735.6,6779.9,6566.7,6613.2
1539907200,6613.3,6639.5,6518.2,6525.1
1539993600,6524.3,6611,6511,6581.5
1540080000,6586.7,6660.8,6581.2,6590.9
1540166400,6590.053594,6627.9,6535.1,6567.3
1540252800,6567.3,6591.6,6525.3,6550
1540339200,6550,6626.3,6536,6554.1
1540425600,6554.09671891,6568.7,6462.9,6528
1540512000,6528.1,6597.4,6511,6531.47722621
1540598400,6531.5,6560,6476.9,6500.2
1540684800,6500.1,6513.88357334,6451,6490.1
1540771200,6490.17717293,6512,6320.8,6346.5
1540857600,6346.5706824,6383.6,6302,6330.1
1540944000,6330.1,6419.8,6242.1,6368.3871592
1541030400,6368.4,6443.9,6352.90247884,6406.1
1541116800,6406.2,6456.1,6389.9,6427
1541203200,6427,6432.4,6323,6389.1
1541289600,6389.2,6529.4,6357.9,6491.7
1541376000,6491.8,6500.6,6435.3,6470.2
1541462400,6470.10159871,6527.7,6447.4,6522.2
1541548800,6520.1,6615,6511,6572.9
1541635200,6573,6585,6460,6475.3
1541721600,6479.5,6504.4,6385,6418.7
1541808000,6418.6,6469.3,6414.4,6431.1
1541894400,6431.1,6459.9,6357.8,6447.9
1541980800,6448,6481,6418.8,6446.9
1542067200,6446.99331314,6501.1,6397.1,6459.0694273
1542153600,6459.0694273,6485.8,5678,5922.4
1542240000,5922.31371947,5940,5432,5749.6
1542326400,5749.6,5777.5,5530.92446993,5655.7
1542412800,5655.7,5661.1,5569.1,5628.3
1542499200,5626.7,5745.6,5620.9,5659.5
1542585600,5659.5,5659.5,4855,4920.7
1542672000,4920.7,5056.26569276,4303.5,4571
1542758400,4570.9,4787.3,4412.3,4662.7
1542844800,4664.7,4723.7,4342.1,4369.6
1542931200,4370.7,4495,4210,4422.7
1543017600,4422.8,4529,3819.4,3929.9
1543104000,3928.4,4233.2,3657.6,4089.1
1543190400,4086.5,4207.1,3695.5,3864.1
1543276800,3863.9,3959.40864054,3684.1,3882.7
1543363200,3883.4,4447.6,3882.9,4305
1543449600,4305,4488,4167.2,4321.9
1543536000,4323.3,4368.8,3950,4039.5
1543622400,4038.5,4340,3964.5,4241.3
1543708800,4241.35765523,4369.8,4113,4173
1543795200,4172.9457484,4189.8,3830.1,3901.2
1543881600,3903,4135.9,3785.5,3981.9
1543968000,3982.2,4000.77105811,3750,3772.9
1544054400,3771.4,3922.7,3503,3531
1544140800,3531,3630,3277.6,3460
1544227200,3460.1,3800.1,3316.1,3506
1544313600,3506,3789,3465.4,3642.3
1544400000,3642.1,3709.7,3475.8,3523
1544486400,3523.2,3551.5,3381.8,3435.2813778
