time,open,high,low,close,PMA12,PMA144,PMA169,PMA288,PMA338,PMA576,PMA676,MHULL,SHULL,KD,J,RSI,MACD,Signal Line,Histogram,Cross,QQE Line,Histo2,QQE Up,QQE Down,Plot,Plot,Plot,Plot,Plot,Shapes,Shapes
911523600,7366.1001,7381.7998,7296.3999,7380.5,7076.139827255032,7370.636064324903,7451.784125095394,NaN,NaN,7521.359776296161,7417.072226932621,7027.855862111593,6995.330395562943,76.56300154968665,120.52944278355096,57.395112354359995,67.92985185557245,11.645904297426974,56.28394755814548,NaN,9.266388211464978,15.498146426855783,15.498146426855783,NaN,333.16913076924084,2.7542292307795835,145.1082562885289,-139.59979782696976,0,NaN,NaN
911782800,7318.3999,7390.5,7308.3999,7312.2998,7112.472130754258,7369.831426196283,7450.143133035448,NaN,NaN,7520.635131664285,7416.762707207561,7054.125018944205,7006.880500622811,80.42284037760115,112.05565806431954,51.34173781393679,81.73698316216542,18.422289069300557,63.314694092864855,NaN,9.868021374364957,16.068409394217,16.068409394217,NaN,369.94998846154795,44.41769269231791,210.63018988836023,-121.79480450372444,0,NaN,NaN
911869200,7452.8999,7467.2002,7410.5,7435.7998,7162.214849099756,7370.741334800472,7449.974387940913,NaN,NaN,7520.341075055397,7416.818946772679,7086.449276309952,7027.855862111593,84.62944331887466,110.96235951541766,58.012393244878695,101.47491244041157,29.04791423672446,72.4269982036871,NaN,12.34458728618452,18.457817068459022,18.457817068459022,NaN,476.2924461538569,90.27271115385638,285.65016027163307,-105.1047379639203,0,NaN,NaN
911955600,7187.7002,7292.2002,7116.1001,7213.5,7170.104872315178,7368.572488803225,7447.1923363180795,NaN,NaN,7519.277501138394,7416.218299957988,7116.355607099825,7054.125018944205,80.46906547156178,83.23457895155104,39.93924865388222,98.04937540837727,41.99387909169491,56.055496316682365,NaN,12.34458728618452,13.11261215168745,13.11261215168745,NaN,250.65788846154828,129.5850426923178,317.6351979928236,-58.46511260818795,0,NaN,NaN
912042000,7281.1001,7397.5,7253,7377.8999,7202.073338112843,7368.701142750766,7446.377131184926,NaN,NaN,7518.787457460271,7416.105099367271,7147.457673349051,7086.449276309952,81.43564084993852,85.23483603587499,49.04230067047199,107.36270023617544,56.51805692289175,50.84464331328369,NaN,12.34458728618452,12.743490397253304,12.743490397253304,NaN,365.3769730769327,194.13080961539453,353.8615747460757,34.40004448471336,0,NaN,NaN
912128400,7406.7998,7453.2002,7300,7320.1001,7220.2313014800975,7368.030783540411,7444.891519053339,NaN,NaN,7518.098766446544,7415.8214804621975,7177.147458484162,7116.355607099825,78.1238736535999,71.74405325572167,44.6544499523567,108.82514789059042,70.05597894979513,38.76916894079528,NaN,16.668075677064053,10.878615318786778,10.878615318786778,NaN,405.95784230770187,253.06735961539442,383.605982005533,122.52873722525584,0,NaN,NaN
912474000,7116.2002,7199.7002,7096.7998,7102.3999,7202.103393560083,7364.366909284681,7440.8622058880055,NaN,NaN,7516.6578691625,7414.895567373683,7198.60061523715,7147.457673349051,61.72134820616226,17.525124388628996,29.7420961555966,91.36436986609442,79.60277913162271,11.76159073447171,NaN,10.433449788763411,4.654931701196894,4.654931701196894,NaN,163.20004615385642,276.4458265384713,378.9317865412187,173.9598665357239,0,NaN,173.9598665357239
912560400,7190,7213.6001,7131.3999,7157.2002,7195.195209935455,7361.509437432479,7437.525005818735,NaN,NaN,7515.411915369909,7414.134281207143,7214.444324717757,7177.147458484162,50.6470849301374,0.8633148313086423,33.15664934357646,81.01461762620693,86.68142212031691,-5.666804494109982,86.68142212031691,7.648731357733169,1.9158276400816447,NaN,NaN,177.88467307693463,287.55775000000983,378.2894864053063,196.82601359471334,0,NaN,NaN
912646800,7182.5,7182.5,7130,7140.1001,7186.719039176154,7358.455515536859,7434.025889279691,NaN,NaN,7514.111007864294,7413.324726757492,7225.344357470196,7198.60061523715,40.8836785354669,-8.416722500623749,31.989381245532,70.61848333425769,89.81960464665018,-19.201121312392488,NaN,5.318939731652669,-0.32317310354649464,NaN,NaN,142.95004615385733,290.63967230770214,377.78852840378784,203.49081621161645,0,NaN,NaN
912733200,7165.1001,7236.1001,7165.1001,7201.7998,7189.0391562259765,7356.294747046695,7431.293817641106,NaN,NaN,7513.0284733483,7412.699837756731,7233.9459980676675,7214.444324717757,37.00234140864042,2.6487980735288943,36.11727181931876,66.59050822422068,89.6707886876111,-23.08028046339041,NaN,5.318939731652669,0.07559959971220565,NaN,NaN,149.48090384616535,283.4919938461638,375.8322341574216,191.15175353490594,0,NaN,NaN
912992400,7375.8999,7375.8999,7300.2002,7303.2998,7206.617716806595,7355.563782259845,7429.788005668858,NaN,NaN,7512.301510875689,7412.37664709866,7244.068019887051,7225.344357470196,40.40518229951823,31.735512859156984,42.63589323724017,70.77268717533934,88.45253357796375,-17.679846402624406,NaN,5.318939731652669,3.1206102338439123,NaN,NaN,262.94621538462616,276.4697023077023,367.92589859660325,185.0135060188013,0,NaN,NaN
913078800,7355.6001,7355.6001,7198,7212.7002,7207.553483451735,7353.593250090743,7427.234031484519,NaN,NaN,7511.263031461908,7411.786760992017,7252.940734595359,7233.9459980676675,38.46019726504424,29.26289995867866,35.58845293273174,66.01547823760939,84.51259644431906,-18.497118206709672,NaN,5.318939731652669,2.114645835787279,NaN,NaN,169.9615961538584,256.47086307693337,347.43795587535504,165.5037702785117,0,NaN,NaN
913165200,7176.2002,7210.1001,7100.7998,7117.8999,7193.760624459161,7350.34230733087,7423.59480640823,NaN,NaN,7509.899554403115,7410.918557562203,7258.625015528414,7244.068019887051,31.024732525429048,7.837422023208262,28.634203630333232,53.973590001636694,79.61528695468122,-25.64169695304453,NaN,3.680278178833987,-1.2595237232838201,NaN,NaN,17.94610000001103,210.63622846154877,297.1182114089431,124.15424551415443,0,NaN,NaN
913251600,7118.2998,7132.3999,7034.8999,7048.6001,7171.428236080828,7346.180345850445,7419.183103979898,NaN,NaN,7508.300596155617,7409.848192842669,7260.150050347094,7252.940734595359,24.3428976933006,-3.955344638130917,23.772204169939883,38.39578936089856,71.95229685742824,-33.556507496529676,NaN,-0.36262774455948943,-5.249470154249124,NaN,-5.249470154249124,-78.78087692306508,177.69235192308741,287.4321158252971,67.95258802087773,0,NaN,NaN
913338000,7015.7002,7075.2998,6931.2002,6939.7002,7135.77776899147,7340.573723149059,7413.542128638958,NaN,NaN,7506.3297109003115,7408.4592770587915,7255.051101451076,7258.625015528414,18.72927109496021,-9.453916566606516,16.55207402116612,17.06622943597995,61.75686147358263,-44.69063203760268,NaN,-5.3001306140786895,-10.237526960945758,NaN,-10.237526960945758,-195.0807730769111,121.64657730770304,250.764692229563,-7.471537614156915,0,NaN,NaN
913597200,6985.8999,6989.2002,6882.2002,6889.5,7097.888881454321,7334.352016622865,7407.376927125559,NaN,NaN,7504.191652976913,7406.926162503227,7243.309280071893,7260.150050347094,14.269493600370115,-10.97154396688849,13.365528978415469,-3.84402554150347,51.17815087273842,-55.02217641424189,NaN,-9.480637826849609,-14.506928291051075,NaN,-14.506928291051075,-288.22672692306514,52.228120384626344,190.66880856888906,-86.21256779963636,0,NaN,NaN
913683600,6847,6937.1001,6752.5,6936.7998,7073.105945845964,7328.868537772895,7401.840725629964,NaN,NaN,7502.22495677942,7405.537310619909,7227.433079102505,7255.051101451076,17.107284340737245,11.581242408025759,17.565820911581255,-16.4096939649844,40.35322736260605,-56.76292132759045,NaN,-10.019715381883643,-14.989709752242803,NaN,-14.989709752242803,-398.6576576922962,-3.9576499999889165,167.4143777554022,-175.32967775538003,0,NaN,NaN
913770000,6926.7998,6926.7998,6764.7998,6769.5,7026.397338792739,7321.153109665683,7394.401422975494,NaN,NaN,7499.685182232524,7403.658322996216,7203.934858864412,7243.309280071893,13.788860557397607,2.729780132692781,7.002976862010627,-39.41343880999102,28.1274582354673,-67.54089704545832,NaN,-13.667480942194658,-18.62280552004681,NaN,-18.62280552004681,-417.33483461537344,-63.47960076921972,126.04886691081137,-253.00806844925083,0,NaN,NaN
