time,open,high,low,close,Volume
1462132800,451.53,453.78,451.08,453,205.41516624
1462147200,452.99,453.8,450.73,452.1,332.48856377
1462161600,452.1,452.25,447.31,449.11,509.648962
1462176000,448.93,448.93,438.59,442.61,2875.18118872
1462190400,442.61,445.5,440.79,443.49,1007.72408308
1462204800,442.82,444.51,440.55,442.25,947.67088786
1462219200,442.18,446.81,441.2,444.06,924.38797477
1462233600,444.06,445.08,440.78,442.3,628.41890925
1462248000,442.91,447.9,441.96,447.74,504.5207707
1462262400,447.75,449.8,445.98,448.44,836.93216251
1462276800,448.44,450.19,448,448.01,1465.82808177
1462291200,448.01,451.3,447.15,451.3,1665.08031182
1462305600,451.3,452,449.06,450.61,500.0699068
1462320000,451.18,451.68,448.96,449.5,354.74746552
1462334400,448.97,450.8,448.96,450.06,319.7040903
1462348800,450.72,450.72,444.15,445.69,701.01811946
1462363200,445.43,448.43,444.16,446.92,804.13473666
1462377600,446.48,447.43,444.65,446.7,746.34738659
1462392000,446.64,448.13,445.35,446.63,401.65547586
1462406400,447.36,449,446.5,446.5,385.39913955
1462420800,447.36,448.39,446.08,447.23,281.74148837
1462435200,446.8,447.96,445.11,445.99,236.91412929
1462449600,445.99,448.96,445.36,446.66,391.23055672
1462464000,447.31,449.42,446.18,449.27,630.05650486
1462478400,449.29,450,447.45,448.5,644.25138201
1462492800,448.5,449.33,447.03,448.13,602.81504373
1462507200,447.38,451.95,447.06,451.95,1110.75235466
1462521600,450.75,451.73,449.41,451.35,304.10914304
1462536000,451.53,454.22,450.09,453.08,632.23371329
1462550400,453.08,456.06,452.57,456,677.28194741
1462564800,456.25,463.97,455.98,458.48,2212.8272238
1462579200,458.98,460,457.03,457.53,241.51735407
1462593600,457.53,458.76,456,458.1,372.71039745
1462608000,458.22,459.99,456.9,459.07,280.48480047
1462622400,459.07,459.89,455.95,457.37,405.26179867
1462636800,458.16,461,457.01,460.04,516.59322769
1462651200,460.04,460.37,457.81,458.07,188.06927729
1462665600,458.97,459.51,457.02,458.32,78.31575464
1462680000,458.32,459.69,457.99,457.99,103.90550573
1462694400,457.58,458.12,455.95,457.3,333.9437702
