Date,KO_price,KO_zscore,PEP_price,PEP_zscore,Zscore_diff
2012-12-13,25.63,0.6581857962854409,49.18,1.0209408223032836,-0.3627550260178427
2012-12-14,25.67,0.6813091384557906,49.15,1.0000509311235988,-0.3187417926678082
2012-12-17,25.56,0.5950854862253053,49.29,1.0536207388907517,-0.45853525266544637
2012-12-18,25.41,0.4788438650026928,49.41,1.0977932194241635,-0.6189493544214707
2012-12-19,25.07,0.22090425007960654,48.95,0.8886342952385395,-0.667730045158933
2012-12-20,25.26,0.3557255282341942,49.11,0.9519237618318362,-0.5961982335976421
2012-12-21,25.15,0.2662261480499565,48.78,0.7998490637204418,-0.5336229156704854
2012-12-24,25.04,0.17591156465905883,48.64,0.7315499392722021,-0.5556383746131432
2012-12-26,24.83,0.00851622331936761,48.22,0.5393259313540677,-0.5308097080347001
2012-12-27,24.83,0.0010570969364942348,48.1,0.4800830315434746,-0.47902593460698034
2012-12-28,24.52,-0.24549781536054485,47.65,0.27409088972356566,-0.5195887050841105
2012-12-31,24.71,-0.10320021924335575,47.94,0.39923448661030575,-0.5024347058536615
2013-01-02,25.63,0.6086335424717281,48.57,0.6761145312088689,-0.06748098873714081
2013-01-03,25.63,0.6027547010883442,48.59,0.6794721803279944,-0.07671747923965022
2013-01-04,25.67,0.628193269684037,48.66,0.7050716119438641,-0.07687834225982715
2013-01-07,25.43,0.4335154859665323,48.65,0.6945873823110764,-0.26107189634454414
2013-01-08,25.25,0.2860110592769283,48.8,0.7560310291817094,-0.47001996990478107
2013-01-09,25.24,0.2726920694466208,49.04,0.8573426766199643,-0.5846506071733435
2013-01-10,25.2,0.23559067652198393,49.6,1.1009253175241502,-0.8653346410021663
2013-01-11,25.16,0.1980675862799131,49.65,1.1145875317061351,-0.9165199454262221
2013-01-14,25.22,0.24027564509361798,49.94,1.2349461330956963,-0.9946704880020784
2013-01-15,25.44,0.4113085855628455,50.16,1.3232031599282186,-0.911894574365373
2013-01-16,25.44,0.40526218944840475,50.07,1.2725538092196995,-0.8672916197712948
2013-01-17,25.57,0.5050477233642188,50.74,1.5593299229750757,-1.054282199610857
2013-01-18,25.7,0.6053584649582328,50.77,1.5596770820756187,-0.954318617117386
2013-01-22,25.31,0.2776239318784293,50.58,1.463461374516839,-1.1858374426384097
2013-01-23,25.31,0.2703546549901479,50.3,1.3287461832466112,-1.0583915282564633
2013-01-24,25.3,0.2547144314671354,50.6,1.4522898996298945,-1.197575468162759
2013-01-25,25.26,0.2134387332254452,50.78,1.520953716598737,-1.3075149833732918
2013-01-28,25.23,0.1800373574872274,50.86,1.5431141609336367,-1.3630768034464094
2013-01-29,25.51,0.41537495006550507,51.1,1.6349780577684225,-1.2196031077029175
2013-01-30,25.56,0.4526969808348419,51.28,1.698807078163575,-1.246110097328733
2013-01-31,25.39,0.2965240309873202,51.03,1.5731832422388696,-1.2766592112515494
2013-02-01,25.59,0.46752123274411606,50.91,1.5062384906623743,-1.0387172579182582
2013-02-04,25.46,0.34461150892542197,50.75,1.423069487160547,-1.078457978235125
2013-02-05,26.0,0.8276396307265595,51.24,1.6248206571422112,-0.7971810264156517
